Algorand,ALGO
VeChain,VET
Mask Network,MASK
Pylon Protocol,MINE
Kyber Network Crystal v2,KNC
TRON,TRX
Aave,AAVE
Dogecoin,DOGE
Name Change Token,NCT
NEAR Protocol,NEAR
OMG Network,OMG
Chiliz,CHZ
Vega Protocol,VEGA
XRP,XRP
Neo,NEO
XT.com Token,XT
The Graph,GRT
Bitcoin,BTC
Define,DFA
Monsta Infinite,MONI
Internet Computer,ICP
Pundi X[old],NPXS
MyNeighborAlice,ALICE
GameFi,GAFI
Mina,MINA
Kokoswap,KOKO
Venus,XVS
Tether,USDT
FTX Token,FTT
Wonderland,TIME
Flow,FLOW
Wrapped Huobi Token,WHT
Tezos,XTZ
Storj,STORJ
Alien Worlds,TLM
Audius,AUDIO
Moonriver,MOVR
Reef,REEF
TrueFi,TRU
BitTorrent,BTT
MOBOX,MBOX
Holo,HOT
Cardano,ADA
Mdex,MDX
EOS,EOS
The Doge NFT,DOG
BitShares,BTS
Delta,DELTA
THETA,THETA
Dash,DASH
Chainlink,LINK
Bao Finance,BAO
Axie Infinity,AXS
1inch,1INCH
Automata Network,ATA
eCash,XEC
Filecoin,FIL
Paribus,PBX
Adventure Gold,AGLD
Alpha Quark Token,AQT
Solana,SOL
Thetan Arena,THG
WETH,WETH
Gem Guardian,GEMG
dYdX,DYDX
USD Coin,USDC
Bifrost (BFC),BFC
SKALE Network,SKL
APENFT,NFT
Stellar,XLM
Conflux,CFX
Yield Guild Games,YGG
Oasis Network,ROSE
Ethereum Classic,ETC
Star Atlas DAO,POLIS
Based Gold,BGLD
stETH (Lido),STETH
Avalanche,AVAX
Binance USD,BUSD
Polygon,MATIC
Bitcoin Cash,BCH
Plant Vs Undead,PVU
Marlin,POND
DigiByte,DGB
Star Atlas,ATLAS
Cosmos,ATOM
StormX,STMX
Raydium,RAY
Clover Finance,CLV
Wrapped BNB,WBNB
Lido DAO Token,LDO
SHIBA INU,SHIB
Bitcoin Cash ABC,BCHA
Polkadot,DOT
Radio Caca,RACA
Coin98,C98
Million,MM
Terra,LUNA
Monero,XMR
Strike,STRK
SXC Token,SXC
Binance Coin,BNB
Braintrust,BTRST
Synapse,SYN
PlayDapp,PLA
WINkLink,WIN
RMRK,RMRK
Qtum,QTUM
Ethereum,ETH
